MS HRTF;;;;Steam Spatializer;;;
Name of Sound;Estimated Angle;Real Angle;Angle Difference;Name of Sound;Estimated Angle;Real Angle;Angle Difference
Rosa_noise;224;222,2083;1,791641;Rosa_noise;160;158,1946;1,805374
Rosa_noise;86,99998;85,80311;1,196877;Rosa_noise;285;283,0013;1,998688
Rosa_noise;193,0001;194,695;-1,694946;Rosa_noise;329;324,9608;4,039215
Rosa_noise;135,0001;132,9788;2,021271;Rosa_noise;171;169,2405;1,759445
Rosa_noise;350,9999;347,4002;3,599731;Rosa_noise;283;280,2919;2,70813
Rosa_noise;215,0002;213,4331;1,567047;Rosa_noise;249,0002;246,2615;2,738647
Rosa_noise;117;116,1225;0,8774643;Rosa_noise;303,0001;301,0407;1,959442
Rosa_noise;238,9999;237,0527;1,947159;Rosa_noise;259;256,8784;2,121643
Rosa_noise;133,0001;129,586;3,414078;Rosa_noise;75,00002;71,77189;3,228134
Rosa_noise;335;334,5363;0,4637451;Rosa_noise;255;251,7912;3,208801
Sinus_200;235,0001;288,6201;-53,62;Sinus_200;3,000072;298,6853;64,3148
Sinus_200;273;328,4944;-55,49442;Sinus_200;354,9999;281,6711;73,32889
Sinus_200;100,9999;156,9546;-55,95467;Sinus_200;299,0001;231,2161;67,784
Sinus_200;243;295,5253;-52,52522;Sinus_200;330,9998;258,5653;72,43448
Sinus_200;101;156,7368;-55,73682;Sinus_200;359;214,5173;144,4827
Sinus_200;271;325,3564;-54,35638;Sinus_200;3,000009;338,0015;24,9985
Sinus_200;331;23,74498;-52,745;Sinus_200;335,0002;268,7793;66,22089
Sinus_200;337;29,47173;-52,4718;Sinus_200;335,0001;34,22105;-59,2209
Sinus_200;48,99992;101,2352;-52,23524;Sinus_200;11,00008;203,3369;167,6632
Sinus_200;26,99989;83,00051;-56,00063;Sinus_200;353,0001;165,5175;-172,5174
Sinus_1000;193,0001;202,174;-9,173981;Sinus_1000;275;278,4386;-3,438599
Sinus_1000;83,00003;92,52734;-9,527306;Sinus_1000;238,9998;241,6154;-2,615646
Sinus_1000;197;207,7882;-10,78819;Sinus_1000;54,99988;58,98994;-3,990059
Sinus_1000;147;155,4102;-8,410202;Sinus_1000;342,9998;347,0514;-4,051575
Sinus_1000;73;83,67841;-10,67841;Sinus_1000;213,0003;215,9142;-2,913925
Sinus_1000;313;326,158;-13,15793;Sinus_1000;234,9998;239,979;-4,979126
Sinus_1000;151,0001;161,4983;-10,49817;Sinus_1000;281,0001;283,5004;-2,500336
Sinus_1000;13,00009;23,42698;-10,42688;Sinus_1000;171;174,3424;-3,342377
Sinus_1000;133,0001;142,8632;-9,863129;Sinus_1000;149;152,4807;-3,480698
Sinus_1000;219,0002;229,2307;-10,23048;Sinus_1000;253;255,6268;-2,62677
Sinus_2000;201;199,4599;1,540085;Sinus_2000;83,00014;69,08947;13,91068
Sinus_2000;67,00009;81,89095;-14,89085;Sinus_2000;228,9999;216,7148;12,2851
Sinus_2000;317;331,7746;-14,7746;Sinus_2000;1,000039;349,1062;11,8938
Sinus_2000;67,00033;83,07404;-16,07371;Sinus_2000;195,0002;183,24;11,76021
Sinus_2000;329;344,9623;-15,96231;Sinus_2000;342,9999;331,42;11,57986
Sinus_2000;245;260,1433;-15,14328;Sinus_2000;247;233,7092;13,29082
Sinus_2000;16,99998;32,86707;-15,86708;Sinus_2000;96,99997;84,53993;12,46004
Sinus_2000;157;171,1364;-14,13646;Sinus_2000;215;202,6036;12,39635
Sinus_2000;241,0001;256,9007;-15,9006;Sinus_2000;123,0002;110,2641;12,73602
Sinus_2000;140,9998;156,3343;-15,3345;Sinus_2000;137,0002;125,1251;11,87505
Sinus_3200;133,0001;127,3795;5,620529;Sinus_3200;29;36,83352;-7,833515
Sinus_3200;303;297,4788;5,52124;Sinus_3200;247;253,1118;-6,111832
Sinus_3200;115;108,6495;6,35051;Sinus_3200;257,0001;263,5942;-6,594086
Sinus_3200;163;156,4113;6,588638;Sinus_3200;261;269,5428;-8,542786
Sinus_3200;355;346,6411;8,358917;Sinus_3200;73,00001;80,86978;-7,869774
Sinus_3200;91,00002;83,35281;7,647202;Sinus_3200;197;205,21;-8,209976
Sinus_3200;197;189,8686;7,131393;Sinus_3200;24,99999;32,74978;-7,74979
Sinus_3200;298,9999;291,3938;7,60614;Sinus_3200;290,9997;298,3557;-7,356079
Sinus_3200;181;172,7487;8,251236;Sinus_3200;304,9999;312,9387;-7,938751
Sinus_3200;30,99994;22,19792;8,802013;Sinus_3200;236,9999;243,5284;-6,528473
Sinus_3200_Stereo;289;280,4463;8,55368;Sinus_3200_Stereo;344,9997;352,1687;-7,169006
Sinus_3200_Stereo;187;179,7291;7,270859;Sinus_3200_Stereo;151,0001;158,7466;-7,74649
Sinus_3200_Stereo;215;208,7075;6,29248;Sinus_3200_Stereo;191,0001;198,2938;-7,293701
Sinus_3200_Stereo;83,00003;75,8888;7,111229;Sinus_3200_Stereo;67,00002;73,18969;-6,189674
Sinus_3200_Stereo;127,0001;121,7256;5,274521;Sinus_3200_Stereo;164,9999;173,1268;-8,126877
Sinus_3200_Stereo;215,0002;206,6181;8,382111;Sinus_3200_Stereo;173;181,1465;-8,146469
Sinus_3200_Stereo;336,9999;329,3066;7,693329;Sinus_3200_Stereo;7;14,71863;-7,718635
Sinus_3200_Stereo;77,00001;69,52059;7,479416;Sinus_3200_Stereo;284,9999;291,3495;-6,349579
Sinus_3200_Stereo;223;215,4166;7,583313;Sinus_3200_Stereo;87,00001;93,61755;-6,617546
Sinus_3200_Stereo;26,99989;20,12326;6,876623;Sinus_3200_Stereo;21,00004;29,40319;-8,403145
speech;211;210,4391;0,5608673;speech;261;256,8804;4,119598
speech;90,99999;97,07649;-6,0765;speech;221,0001;218,4604;2,539749
speech;359;358,3949;0,605072;speech;238,9999;234,0136;4,986298
speech;5,000006;1,965351;3,034655;speech;359;354,7778;4,222168
speech;344,9999;349,2553;-4,255371;speech;45,00004;40,95875;4,04129
speech;223;225,7646;-2,764648;speech;265;260,2815;4,718567
speech;127,0001;128,0124;-1,012291;speech;241;236,6495;4,350464
speech;299,0001;303,7601;-4,76001;speech;79,00002;74,87742;4,122604
speech;307,0001;311,7755;-4,775452;speech;5,000007;2,447591;2,552416
speech;223;221,2859;1,714066;speech;352,9999;348,6415;4,358398
Symphony_Sounds;92,99997;100,5615;-7,561501;Symphony_Sounds;214,0003;216,0242;-2,023972
Symphony_Sounds;215;219,0678;-4,067871;Symphony_Sounds;29,00012;31,61475;-2,614628
Symphony_Sounds;314,9999;321,736;-6,736084;Symphony_Sounds;76,99998;78,07414;-1,074158
Symphony_Sounds;37,00005;40,94854;-3,948486;Symphony_Sounds;52,99987;53,659;-0,6591301
Symphony_Sounds;215;221,5138;-6,513885;Symphony_Sounds;78,99999;81,35159;-2,351593
Symphony_Sounds;167;174,4139;-7,413864;Symphony_Sounds;265;267,2224;-2,222473
Symphony_Sounds;17,00011;20,46912;-3,469011;Symphony_Sounds;52,99988;53,71988;-0,7199974
Symphony_Sounds;107;116,4558;-9,455765;Symphony_Sounds;271;272,7213;-1,721344
Symphony_Sounds;173,0001;180,148;-7,14798;Symphony_Sounds;86,99998;88,78766;-1,787674
Symphony_Sounds;209,0001;212,3274;-3,327301;Symphony_Sounds;287;287,5352;-0,5352478
White_noise;329,0001;330,8286;-1,828491;White_noise;112,9999;100,7677;12,23219
White_noise;146,9998;148,1633;-1,163498;White_noise;181;168,6917;12,3083
White_noise;221,0001;221,6009;-0,6008148;White_noise;65,00004;52,88206;12,11798
White_noise;228,9999;230,6614;-1,661514;White_noise;275;263,5417;11,45825
White_noise;324,9997;327,0016;-2,001953;White_noise;112,9998;100,2136;12,78626
White_noise;191,0001;192,8449;-1,844864;White_noise;157;146,6935;10,30644
White_noise;117;117,2661;-0,2661591;White_noise;211;198,6162;12,38379
White_noise;235;236,1259;-1,125946;White_noise;23,00004;11,13666;11,86338
White_noise;224,9999;228,506;-3,506104;White_noise;83,00002;72,40811;10,5919
White_noise;163;163,3196;-0,3196411;White_noise;98,99996;85,90117;13,09879
