Name of Sound;Estimated Angle;Real Angle;Angle Difference
Sinus_200;132,0001;185,3584;-53,35828
Sinus_200;16,99998;70,87705;-53,87708
Sinus_200;271;326,093;-55,09305
Sinus_200;286,9998;344,2675;-57,26779
Sinus_200;294,9999;349,3205;-54,32053
Sinus_200;281;333,5715;-52,57156
Sinus_200;348,9999;45,57481;-56,57489
Sinus_200;286,9998;344,2344;-57,23456
Sinus_200;301,0001;356,6984;-55,69824
Sinus_200;221,0002;274,7358;-53,73563
Sinus_200;136,9999;193,0678;-56,06784
Sinus_200;273;325,8357;-52,83566
Sinus_200;123,0002;176,3857;-53,38554
Sinus_200;164,9999;220,6053;-55,60538
Sinus_200;280,9999;334,76;-53,76013
Sinus_200;173;228,4781;-55,47815
Sinus_200;359;53,92292;-54,92291
Sinus_200;331,0002;25,70599;-54,70584
Sinus_200;296,9999;349,3912;-52,39127
Sinus_200;151,0001;205,5903;-54,59026
Sinus_200;261;314,1786;-53,17859
Sinus_200;193,0001;244,9709;-51,97086
Sinus_200;151;203,8197;-52,81975
Sinus_200;181;235,4742;-54,47415
Sinus_200;247;303,7774;-56,77737
