Name of Sound;Estimated Angle;Real Angle;Angle Difference
Rosa_noise;224;222,2083;1,791641
Rosa_noise;86,99998;85,80311;1,196877
Rosa_noise;193,0001;194,695;-1,694946
Rosa_noise;135,0001;132,9788;2,021271
Rosa_noise;350,9999;347,4002;3,599731
Rosa_noise;215,0002;213,4331;1,567047
Rosa_noise;117;116,1225;0,8774643
Rosa_noise;238,9999;237,0527;1,947159
Rosa_noise;133,0001;129,586;3,414078
Rosa_noise;335;334,5363;0,4637451
Sinus_200;235,0001;288,6201;-53,62
Sinus_200;273;328,4944;-55,49442
Sinus_200;100,9999;156,9546;-55,95467
Sinus_200;243;295,5253;-52,52522
Sinus_200;101;156,7368;-55,73682
Sinus_200;271;325,3564;-54,35638
Sinus_200;331;23,74498;307,255
Sinus_200;337;29,47173;307,5282
Sinus_200;48,99992;101,2352;-52,23524
Sinus_200;26,99989;83,00051;-56,00063
Sinus_1000;193,0001;202,174;-9,173981
Sinus_1000;83,00003;92,52734;-9,527306
Sinus_1000;197;207,7882;-10,78819
Sinus_1000;147;155,4102;-8,410202
Sinus_1000;73;83,67841;-10,67841
Sinus_1000;313;326,158;-13,15793
Sinus_1000;151,0001;161,4983;-10,49817
Sinus_1000;13,00009;23,42698;-10,42688
Sinus_1000;133,0001;142,8632;-9,863129
Sinus_1000;219,0002;229,2307;-10,23048
Sinus_2000;201;199,4599;1,540085
Sinus_2000;67,00009;81,89095;-14,89085
Sinus_2000;317;331,7746;-14,7746
Sinus_2000;67,00033;83,07404;-16,07371
Sinus_2000;329;344,9623;-15,96231
Sinus_2000;245;260,1433;-15,14328
Sinus_2000;16,99998;32,86707;-15,86708
Sinus_2000;157;171,1364;-14,13646
Sinus_2000;241,0001;256,9007;-15,9006
Sinus_2000;140,9998;156,3343;-15,3345
Sinus_3200;133,0001;127,3795;5,620529
Sinus_3200;303;297,4788;5,52124
Sinus_3200;115;108,6495;6,35051
Sinus_3200;163;156,4113;6,588638
Sinus_3200;355;346,6411;8,358917
Sinus_3200;91,00002;83,35281;7,647202
Sinus_3200;197;189,8686;7,131393
Sinus_3200;298,9999;291,3938;7,60614
Sinus_3200;181;172,7487;8,251236
Sinus_3200;30,99994;22,19792;8,802013
Sinus_3200_Stereo;289;280,4463;8,55368
Sinus_3200_Stereo;187;179,7291;7,270859
Sinus_3200_Stereo;215;208,7075;6,29248
Sinus_3200_Stereo;83,00003;75,8888;7,111229
Sinus_3200_Stereo;127,0001;121,7256;5,274521
Sinus_3200_Stereo;215,0002;206,6181;8,382111
Sinus_3200_Stereo;336,9999;329,3066;7,693329
Sinus_3200_Stereo;77,00001;69,52059;7,479416
Sinus_3200_Stereo;223;215,4166;7,583313
Sinus_3200_Stereo;26,99989;20,12326;6,876623
speech;211;210,4391;0,5608673
speech;90,99999;97,07649;-6,0765
speech;359;358,3949;0,605072
speech;5,000006;1,965351;3,034655
speech;344,9999;349,2553;-4,255371
speech;223;225,7646;-2,764648
speech;127,0001;128,0124;-1,012291
speech;299,0001;303,7601;-4,76001
speech;307,0001;311,7755;-4,775452
speech;223;221,2859;1,714066
Symphony_Sounds;92,99997;100,5615;-7,561501
Symphony_Sounds;215;219,0678;-4,067871
Symphony_Sounds;314,9999;321,736;-6,736084
Symphony_Sounds;37,00005;40,94854;-3,948486
Symphony_Sounds;215;221,5138;-6,513885
Symphony_Sounds;167;174,4139;-7,413864
Symphony_Sounds;17,00011;20,46912;-3,469011
Symphony_Sounds;107;116,4558;-9,455765
Symphony_Sounds;173,0001;180,148;-7,14798
Symphony_Sounds;209,0001;212,3274;-3,327301
White_noise;329,0001;330,8286;-1,828491
White_noise;146,9998;148,1633;-1,163498
White_noise;221,0001;221,6009;-0,6008148
White_noise;228,9999;230,6614;-1,661514
White_noise;324,9997;327,0016;-2,001953
White_noise;191,0001;192,8449;-1,844864
White_noise;117;117,2661;-0,2661591
White_noise;235;236,1259;-1,125946
White_noise;224,9999;228,506;-3,506104
White_noise;163;163,3196;-0,3196411
