Name of Sound;Estimated Angle;Real Angle;Angle Difference
Rosa_noise;316;316,9514;-0,9513855
Rosa_noise;223;223,6116;-0,6116333
Rosa_noise;74,99994;75,56882;-0,5688782
Rosa_noise;45;44,85774;0,1422653
Rosa_noise;85,00002;83,12164;1,87838
Rosa_noise;271;271,7791;-0,7790833
Rosa_noise;253;253,4761;-0,4760742
Rosa_noise;267;266,0467;0,9533081
Rosa_noise;334,9999;335,371;-0,3710327
Rosa_noise;56,99988;56,36318;0,6367035
Sinus_200;166,9999;166,1554;0,8445435
Sinus_200;71;71,17743;-0,1774292
Sinus_200;146,9998;147,2516;-0,2517548
Sinus_200;217,0001;216,3793;0,6207428
Sinus_200;105,0003;105,4542;-0,4539261
Sinus_200;118,9999;118,1537;0,8462143
Sinus_200;290,9997;290,9926;0,007141113
Sinus_200;29;29,90002;-0,900013
Sinus_200;5,00008;5,560927;-0,5608473
Sinus_200;351;350,7741;0,2258606
Sinus_1000;105;106,455;-1,454948
Sinus_1000;87,00002;86,93929;0,06072235
Sinus_1000;322,9998;322,2429;0,756958
Sinus_1000;254,9997;254,2789;0,7207336
Sinus_1000;292,9999;292,3983;0,6015625
Sinus_1000;1,000011;0,3201056;0,6799049
Sinus_1000;15,00027;15,37957;-0,3793058
Sinus_1000;115;113,2081;1,791939
Sinus_1000;357;357,3584;-0,358429
Sinus_1000;87,00002;86,92757;0,0724411
Sinus_2000;301,0001;300,2255;0,7745667
Sinus_2000;251;251,1883;-0,1882935
Sinus_2000;353;353,3587;-0,3586426
Sinus_2000;5,000021;4,698244;0,3017778
Sinus_2000;265;264,7198;0,2801514
Sinus_2000;139;138,7515;0,2484589
Sinus_2000;83,00014;81,3033;1,696846
Sinus_2000;211;211,6192;-0,6192322
Sinus_2000;236,9999;236,2974;0,7024841
Sinus_2000;193,0001;194,2908;-1,29071
Sinus_3200;159;157,4677;1,532288
Sinus_3200;56,99982;57,96259;-0,9627609
Sinus_3200;163;162,9666;0,03343201
Sinus_3200;6,999962;6,126595;0,8733668
Sinus_3200;179;179,9994;-0,9994202
Sinus_3200;61,00006;60,94237;0,05768585
Sinus_3200;320,9998;320,1792;0,8206177
Sinus_3200;206,9998;206,0946;0,9052429
Sinus_3200;233,0001;233,2702;-0,2700958
Sinus_3200;334,9999;335,803;-0,8031006
Sinus_3200_Stereo;111;111,7792;-0,7791595
Sinus_3200_Stereo;265;264,6036;0,3963623
Sinus_3200_Stereo;15,00028;15,78456;-0,7842884
Sinus_3200_Stereo;61,00006;61,60632;-0,6062622
Sinus_3200_Stereo;63,00001;63,47608;-0,4760704
Sinus_3200_Stereo;351;352,6602;-1,660217
Sinus_3200_Stereo;263;262,7421;0,2579346
Sinus_3200_Stereo;348,9999;350,0794;-1,079498
Sinus_3200_Stereo;98,99986;98,51042;0,4894333
Sinus_3200_Stereo;206,9998;206,1323;0,8675537
speech;18,99997;19,27698;-0,2770061
speech;342,9998;343,2371;-0,2372131
speech;77,00011;76,2719;0,7282028
speech;121,0002;121,5894;-0,5892181
speech;275;273,2249;1,775055
speech;352;351,5707;0,4292908
speech;263;262,6639;0,3361511
speech;203,0001;204,2304;-1,230301
speech;113;112,88;0,120018
speech;123,0002;122,9657;0,03442383
Symphony_Sounds;290,9997;290,4467;0,5529175
Symphony_Sounds;159;158,8099;0,1900787
Symphony_Sounds;247;247,1207;-0,120697
Symphony_Sounds;36,99998;35,1184;1,88158
Symphony_Sounds;91,00002;90,42542;0,5745926
Symphony_Sounds;181;180,0536;0,9464264
Symphony_Sounds;143;144,0241;-1,024063
Symphony_Sounds;353;352,2753;0,7247314
Symphony_Sounds;225;224,1043;0,8957062
Symphony_Sounds;313,0001;314,6123;-1,612244
White_noise;287;287,8429;-0,8428955
White_noise;249;248,6572;0,3427734
White_noise;44,99995;45,61695;-0,6170044
White_noise;118,9999;119,1259;-0,1259766
White_noise;275;274,1133;0,8866577
White_noise;123,0002;122,9123;0,08791351
White_noise;56,99983;57,91692;-0,9170914
White_noise;303,0002;302,0657;0,9345093
White_noise;3,000005;2,589512;0,4104931
White_noise;5,000008;4,397279;0,6027288
