Name of Sound;Estimated Angle;Real Angle;Angle Difference
Rosa_noise;332,0001;334,5474;-2,547333
Rosa_noise;92,99997;95,50137;-2,501396
Rosa_noise;179;178,5562;0,4437866
Rosa_noise;142,9998;142,3066;0,6932068
Rosa_noise;98,99996;92,86967;6,130287
Rosa_noise;26,99994;28,4252;-1,425257
Rosa_noise;296,9999;289,9424;7,057526
Rosa_noise;110,9999;107,1518;3,848145
Rosa_noise;48,99995;45,41971;3,580235
Rosa_noise;30,99998;26,55078;4,449196
Sinus_200;189;180,499;8,501007
Sinus_200;31;33,19257;-2,192572
Sinus_200;3,000008;5,283051;-2,283043
Sinus_200;102,9999;106,0389;-3,03904
Sinus_200;355;348,6579;6,342133
Sinus_200;56,99989;58,44543;-1,445545
Sinus_200;295;288,686;6,313965
Sinus_200;93,00001;97,09984;-4,099831
Sinus_200;78,99994;81,06749;-2,067551
Sinus_200;157;159,0405;-2,040558
Sinus_1000;46,99988;50,21113;-3,21125
Sinus_1000;143;148,1018;-5,101791
Sinus_1000;5,000027;8,178764;-3,178738
Sinus_1000;219,0002;210,7174;8,282791
Sinus_1000;164,9999;168,2893;-3,289398
Sinus_1000;290,9998;284,0269;6,972931
Sinus_1000;11,00006;14,88364;-3,883581
Sinus_1000;281,0001;273,1577;7,842407
Sinus_1000;88,99999;92,45477;-3,454773
Sinus_1000;173;174,8729;-1,872879
Sinus_2000;269;267,899;1,101013
Sinus_2000;113;109,7354;3,26461
Sinus_2000;254,9999;253,2743;1,725632
Sinus_2000;193;189,726;3,274033
Sinus_2000;311;309,1588;1,841156
Sinus_2000;179;177,4027;1,59726
Sinus_2000;48,99999;46,45166;2,548328
Sinus_2000;290,9997;287,9296;3,070068
Sinus_2000;335,0002;331,0909;3,909302
Sinus_2000;31;28,73393;2,266071
Sinus_3200;5,000017;7,367449;-2,367432
Sinus_3200;31;32,82303;-1,823027
Sinus_3200;115;116,225;-1,224968
Sinus_3200;121,0001;122,763;-1,762871
Sinus_3200;50,99987;52,07074;-1,070862
Sinus_3200;241,0001;233,3716;7,628418
Sinus_3200;327;320,4316;6,568359
Sinus_3200;269;261,7245;7,275482
Sinus_3200;287;280,5654;6,43457
Sinus_3200;355;193,0689;161,931
Sinus_3200_Stereo;304,9999;298,0509;6,949066
Sinus_3200_Stereo;348,9999;177,5674;171,4325
Sinus_3200_Stereo;304,9999;297,9467;7,053223
Sinus_3200_Stereo;109;111,6121;-2,612045
Sinus_3200_Stereo;296,9999;291,0498;5,950134
Sinus_3200_Stereo;298,9999;291,9827;7,017212
Sinus_3200_Stereo;249;240,4738;8,526245
Sinus_3200_Stereo;353;344,8576;8,142365
Sinus_3200_Stereo;306,9999;297,9146;9,085388
Sinus_3200_Stereo;140,9998;143,4828;-2,483017
speech;299;293,8803;5,11972
speech;344,9999;346,7426;-1,742676
speech;357;358,9039;-1,9039
speech;41,00016;30,99866;10,00151
speech;183;177,1669;5,833115
speech;92,99997;96,18974;-3,189766
speech;177;171,4082;5,591751
speech;257,0001;251,3129;5,687256
speech;208,9999;209,6595;-0,6595764
speech;292,9999;284,7091;8,290802
Symphony_Sounds;149,0001;154,0026;-5,002533
Symphony_Sounds;157;160,0307;-3,030762
Symphony_Sounds;289;280,0873;8,912689
Symphony_Sounds;343;335,5959;7,404144
Symphony_Sounds;65,00004;57,50051;7,499523
Symphony_Sounds;157;159,6965;-2,696518
Symphony_Sounds;267;258,1962;8,803833
Symphony_Sounds;25,00007;26,86887;-1,868805
Symphony_Sounds;283;276,6818;6,318176
Symphony_Sounds;255;245,4888;9,5112
White_noise;344,9999;345,9903;-0,990448
White_noise;107;108,8974;-1,897461
White_noise;238,9998;232,3977;6,602112
White_noise;219,0001;220,9783;-1,978119
White_noise;286,9999;288,9149;-1,915009
White_noise;101;95,02072;5,979317
White_noise;313;314,6777;-1,677673
White_noise;238,9999;239,8876;-0,8877716
White_noise;137;138,4249;-1,424881
White_noise;5,000107;8,418447;-3,418339
