Name of Sound;Estimated Angle;Real Angle;Angle Difference
Sinus_200;108;110,8047;-2,804649
Sinus_200;311;304,5123;6,487732
Sinus_200;143;145,6688;-2,668747
Sinus_200;7;10,22612;-3,226124
Sinus_200;187;180,5141;6,485855
Sinus_200;123,0001;125,754;-2,75386
Sinus_200;265;258,2404;6,759552
Sinus_200;39,0002;40,81392;-1,813721
Sinus_200;126,9999;129,2656;-2,265656
Sinus_200;301,0003;293,9207;7,079529
Sinus_200;195,0002;188,1129;6,887314
Sinus_200;221;214,2331;6,766922
Sinus_200;209;202,5947;6,40535
Sinus_200;195,0002;188,1757;6,824432
Sinus_200;247;240,0051;6,994858
Sinus_200;281,0001;274,6138;6,386261
Sinus_200;329;321,5625;7,437469
Sinus_200;236,9998;230,0077;6,992142
Sinus_200;325;317,9453;7,054718
Sinus_200;245;238,7952;6,204758
Sinus_200;253;245,5574;7,442596
Sinus_200;277;268,8693;8,130707
Sinus_200;333,0002;326,8446;6,155548
Sinus_200;243;235,6105;7,389481
Sinus_200;338,9999;331,358;7,641937
