Name of Sound;Estimated Angle;Real Angle;Angle Difference
Sinus_200;319,9999;256,1477;63,85223
Sinus_200;25;314,1732;70,82684
Sinus_200;315;243,5428;71,45718
Sinus_200;359;215,9267;143,0733
Sinus_200;328,9999;257,4864;71,51349
Sinus_200;328,9999;256,0631;72,9368
Sinus_200;11,00006;299,8432;71,15686
Sinus_200;21;310,1362;70,86383
Sinus_200;5,000021;195,6647;169,3353
Sinus_200;23,00005;81,257;-58,25694
Sinus_200;11,0001;72,73199;-61,7319
Sinus_200;342,9999;43,60628;-60,60641
Sinus_200;339;269,7127;69,28729
Sinus_200;13,0001;301,311;71,68906
Sinus_200;5,000086;178,0838;-173,0837
Sinus_200;39,00026;330,3784;68,62186
Sinus_200;9,000031;226,9712;142,0288
Sinus_200;6,999959;223,9069;143,0931
Sinus_200;324,9998;23,24004;-58,24023
Sinus_200;58,99982;118,9708;-59,97096
Sinus_200;32,99998;321,6168;71,38318
Sinus_200;13,00008;204,9735;168,0266
Sinus_200;301;3,6757;-62,67566
Sinus_200;23,00001;311,4282;71,57181
Sinus_200;7;179,6664;-172,6664
